OT_ADMS_P/idIIP/BT_Identyfikator/lokalnyId/__text,OT_ADMS_P/idIIP/BT_Identyfikator/przestrzenNazw/__text,OT_ADMS_P/idIIP/BT_Identyfikator/wersjaId/__text,OT_ADMS_P/czyObiektBDOO/__text,OT_ADMS_P/x_kod/__text,OT_ADMS_P/x_skrKarto/_xsi:nil,OT_ADMS_P/x_skrKarto/_nilReason,OT_ADMS_P/x_katDoklGeom/__text,OT_ADMS_P/x_zrodloDanychG/__text,OT_ADMS_P/x_zrodloDanychA/__text,OT_ADMS_P/x_katIstnienia/_xsi:nil,OT_ADMS_P/x_katIstnienia/_nilReason,OT_ADMS_P/x_rodzajReprGeom/__text,OT_ADMS_P/x_uzytkownik/_xlink:href,OT_ADMS_P/x_aktualnoscG/__text,OT_ADMS_P/x_aktualnoscA/__text,OT_ADMS_P/x_cyklZycia/BT_CyklZyciaInfo/poczatekWersjiObiektu/__text,OT_ADMS_P/x_dataUtworzenia/__text,OT_ADMS_P/x_kodKarto10k/_xsi:nil,OT_ADMS_P/x_kodKarto10k/_nilReason,OT_ADMS_P/x_kodKarto25k/_xsi:nil,OT_ADMS_P/x_kodKarto25k/_nilReason,OT_ADMS_P/x_kodKarto50k/_xsi:nil,OT_ADMS_P/x_kodKarto50k/_nilReason,OT_ADMS_P/x_kodKarto100k/_xsi:nil,OT_ADMS_P/x_kodKarto100k/_nilReason,OT_ADMS_P/x_kodKarto250k/_xsi:nil,OT_ADMS_P/x_kodKarto250k/_nilReason,OT_ADMS_P/x_kodKarto500k/_xsi:nil,OT_ADMS_P/x_kodKarto500k/_nilReason,OT_ADMS_P/x_kodKarto1000k/_xsi:nil,OT_ADMS_P/x_kodKarto1000k/_nilReason,OT_ADMS_P/nazwa/__text,OT_ADMS_P/geometria/Polygon/exterior/LinearRing/posList/__text,OT_ADMS_P/geometria/Polygon/_gml:id,OT_ADMS_P/geometria/Polygon/_srsName,OT_ADMS_P/geometria/Polygon/_srsDimension,OT_ADMS_P/idPRNG/__text,OT_ADMS_P/idTerytGmi/__text,OT_ADMS_P/idTerytMiejsc/__text,OT_ADMS_P/liczbaMieszkancow/__text,OT_ADMS_P/rodzaj/__text,OT_ADMS_P/siedzibaUrzeduGminy/__text,OT_ADMS_P/adja_a3/_xlink:href,OT_ADMS_P/EMUiA/BT_ReferencjaDoObiektu/idIIP/BT_Identyfikator/lokalnyId/__text,OT_ADMS_P/EMUiA/BT_ReferencjaDoObiektu/idIIP/BT_Identyfikator/przestrzenNazw/__text,OT_ADMS_P/PRNG/BT_ReferencjaDoObiektu/idIIP/BT_Identyfikator/lokalnyId/__text,OT_ADMS_P/PRNG/BT_ReferencjaDoObiektu/idIIP/BT_Identyfikator/przestrzenNazw/__text,OT_ADMS_P/geometria2/Point/pos/__text,OT_ADMS_P/geometria2/Point/_gml:id,OT_ADMS_P/geometria2/Point/_srsName,OT_ADMS_P/geometria2/Point/_srsDimension,OT_ADMS_P/_gml:id
2CE79A9B-C51C-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2016-12-07T00:00:00,false,ADMS02,true,inapplicable,Dok,Mz,Mz,true,inapplicable,PU,Uzytkownik04.xml,2015-02-10,2016-12-07,2016-12-07T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,Czerniewice,478887.68 568676.97 478888.75 568663.88 478880.47 568670.29 478887.68 568676.97,g_7,EPSG:2180,2,20203,0463011,0982776,2233,CMs,false,PL.PZGiK.994.0463__OT_ADJA_A.xml#PL.PZGIK.BDOT10k.ADJAA.04.631,0982776,PL.ZIPIN.463,20203,PL.PZGIK.204,478885.5 568669.97,p_7,EPSG:2180,2,PL.PZGIK.BDOT10k.ADMSP.04.6319
2CE79A9B-C51D-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2016-12-07T00:00:00,false,ADMS02,true,inapplicable,Dok,Mz,Mz,true,inapplicable,PU,Uzytkownik04.xml,2015-02-10,2016-12-07,2016-12-07T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,Rybaki,472938.77 571507.48 472945.89 571529.86 472976.41 571512.57 472938.77 571507.48,g_53,EPSG:2180,2,173064,0463011,0999660,4280,CMs,false,PL.PZGiK.994.0463__OT_ADJA_A.xml#PL.PZGIK.BDOT10k.ADJAA.04.631,0999660,PL.ZIPIN.463,173064,PL.PZGIK.204,472955.51 571514.94,p_53,EPSG:2180,2,PL.PZGIK.BDOT10k.ADMSP.04.6310
2CE79A9B-C508-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2016-12-07T00:00:00,false,ADMS02,true,inapplicable,Dok,Mz,Mz,true,inapplicable,PU,Uzytkownik04.xml,2015-02-10,2016-12-07,2016-12-07T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,Rudak,476051.94 571259.11 476067.31 571230.73 476036.57 571230.73 476051.94 571259.11,g_99,EPSG:2180,2,117833,0463011,0982919,761,CMs,false,PL.PZGiK.994.0463__OT_ADJA_A.xml#PL.PZGIK.BDOT10k.ADJAA.04.631,0982919,PL.ZIPIN.463,117833,PL.PZGIK.204,476054.06 571241.42,p_99,EPSG:2180,2,PL.PZGIK.BDOT10k.ADMSP.04.6323
2CE79A9B-C509-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2016-12-07T00:00:00,false,ADMS02,true,inapplicable,Dok,Mz,Mz,true,inapplicable,PU,Uzytkownik04.xml,2015-02-10,2016-12-07,2016-12-07T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,Bydgoskie Przedmieście,471822.23 572146.87 471856.81 572154.73 471860.74 572124.86 471822.23 572146.87,g_145,EPSG:2180,2,13955,0463011,0982888,24685,CMs,false,PL.PZGiK.994.0463__OT_ADJA_A.xml#PL.PZGIK.BDOT10k.ADJAA.04.631,0982888,PL.ZIPIN.463,13955,PL.PZGIK.204,471849.71 572139.19,p_145,EPSG:2180,2,PL.PZGIK.BDOT10k.ADMSP.04.638
2CE79A9B-C50A-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2016-12-07T00:00:00,false,ADMS02,true,inapplicable,Dok,Mz,Mz,true,inapplicable,PU,Uzytkownik04.xml,2015-02-10,2016-12-07,2016-12-07T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,Chełmińskie Przedmieście,472949.96 572965.78 472960.13 572971.89 472963.18 572951.03 472949.96 572965.78,g_191,EPSG:2180,2,110757,0463011,0982760,34589,CMs,false,PL.PZGiK.994.0463__OT_ADJA_A.xml#PL.PZGIK.BDOT10k.ADJAA.04.631,0982760,PL.ZIPIN.463,110757,PL.PZGIK.204,472958.56 572963.13,p_191,EPSG:2180,2,PL.PZGIK.BDOT10k.ADMSP.04.639
2CE79A9B-C50B-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2016-12-07T00:00:00,false,ADMS02,true,inapplicable,Dok,Mz,Mz,true,inapplicable,PU,Uzytkownik04.xml,2015-02-10,2016-12-07,2016-12-07T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,Glinki,470689.93 567402.94 470696.24 567432.92 470715.96 567420.3 470689.93 567402.94,g_237,EPSG:2180,2,33026,0463011,0982782,20,CMs,false,PL.PZGiK.994.0463__OT_ADJA_A.xml#PL.PZGIK.BDOT10k.ADJAA.04.631,0982782,PL.ZIPIN.463,33026,PL.PZGIK.204,470699.93 567420.57,p_237,EPSG:2180,2,PL.PZGIK.BDOT10k.ADMSP.04.6321
2CE79A9B-C50C-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2016-12-07T00:00:00,false,ADMS02,true,inapplicable,Dok,Mz,Mz,true,inapplicable,PU,Uzytkownik04.xml,2015-02-10,2016-12-07,2016-12-07T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,Wrzosy,471848.62 575318.21 471852.72 575311.63 471848.33 575309.87 471848.62 575318.21,g_283,EPSG:2180,2,151917,0463011,0982948,13213,CMs,false,PL.PZGiK.994.0463__OT_ADJA_A.xml#PL.PZGIK.BDOT10k.ADJAA.04.631,0982948,PL.ZIPIN.463,151917,PL.PZGIK.204,471850.1 575312.94,p_283,EPSG:2180,2,PL.PZGIK.BDOT10k.ADMSP.04.632
2CE79A9B-C50D-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2016-12-07T00:00:00,false,ADMS02,true,inapplicable,Dok,Mz,Mz,true,inapplicable,PU,Uzytkownik04.xml,2015-02-10,2016-12-07,2016-12-07T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,Barbarka,471330 576187.83 471319.55 576178.4 471319.55 576199.81 471330 576187.83,g_329,EPSG:2180,2,2663,0463011,0982730,7,CMs,false,PL.PZGiK.994.0463__OT_ADJA_A.xml#PL.PZGIK.BDOT10k.ADJAA.04.631,0982730,PL.ZIPIN.463,2663,PL.PZGIK.204,471323.03 576188.12,p_329,EPSG:2180,2,PL.PZGIK.BDOT10k.ADMSP.04.631
2CE79A9B-C50E-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2016-12-07T00:00:00,false,ADMS02,true,inapplicable,Dok,Mz,Mz,true,inapplicable,PU,Uzytkownik04.xml,2015-02-10,2016-12-07,2016-12-07T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,Katarzynka,477292.34 575373.4 477303.79 575413.48 477325.74 575373.4 477292.34 575373.4,g_375,EPSG:2180,2,51348,0463011,0982820,21,CMs,false,PL.PZGiK.994.0463__OT_ADJA_A.xml#PL.PZGIK.BDOT10k.ADJAA.04.631,0982820,PL.ZIPIN.463,51348,PL.PZGIK.204,477306.98 575387.98,p_375,EPSG:2180,2,PL.PZGIK.BDOT10k.ADMSP.04.635
2CE79A9B-C50F-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2016-12-07T00:00:00,false,ADMS02,true,inapplicable,Dok,Mz,Mz,true,inapplicable,PU,Uzytkownik04.xml,2015-02-10,2016-12-07,2016-12-07T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,Mokre,474019.26 573064.85 474001.61 573112.78 474033.14 573111.52 474019.26 573064.85,g_421,EPSG:2180,2,82748,0463011,0982859,14847,CMs,false,PL.PZGiK.994.0463__OT_ADJA_A.xml#PL.PZGIK.BDOT10k.ADJAA.04.631,0982859,PL.ZIPIN.463,82748,PL.PZGIK.204,474017.52 573095.85,p_421,EPSG:2180,2,PL.PZGIK.BDOT10k.ADMSP.04.6313
2CE79A9B-C510-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2016-12-07T00:00:00,false,ADMS02,true,inapplicable,Dok,Mz,Mz,true,inapplicable,PU,Uzytkownik04.xml,2015-02-10,2016-12-07,2016-12-07T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,Jakubskie Przedmieście,475383.11 573303.64 475386.38 573239.8 475375.84 573247.95 475350.37 573267.63 475371.75 573291.14 475383.11 573303.64,g_467,EPSG:2180,2,110769,0463011,0982894,8586,CMs,false,PL.PZGiK.994.0463__OT_ADJA_A.xml#PL.PZGIK.BDOT10k.ADJAA.04.631,0982894,PL.ZIPIN.463,110769,PL.PZGIK.204,475373.03 573268.74,p_467,EPSG:2180,2,PL.PZGIK.BDOT10k.ADMSP.04.6315
2CE79A9B-C511-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2016-12-07T00:00:00,false,ADMS02,true,inapplicable,Dok,Mz,Mz,true,inapplicable,PU,Uzytkownik04.xml,2015-02-10,2016-12-07,2016-12-07T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,Na Skarpie,479188.41 573120.4 479187.66 573090.69 479161.67 573107.77 479188.41 573120.4,g_513,EPSG:2180,2,168163,0463011,0999653,23811,CMs,false,PL.PZGiK.994.0463__OT_ADJA_A.xml#PL.PZGIK.BDOT10k.ADJAA.04.631,0999653,PL.ZIPIN.463,168163,PL.PZGIK.204,479178.19 573104.47,p_513,EPSG:2180,2,PL.PZGIK.BDOT10k.ADMSP.04.6316
2CE79A9B-C512-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2016-12-07T00:00:00,false,ADMS02,true,inapplicable,Dok,Mz,Mz,true,inapplicable,PU,Uzytkownik04.xml,2015-02-10,2016-12-07,2016-12-07T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,Stawki,475335.35 569679.68 475340.14 569669.56 475328.59 569671.85 475335.35 569679.68,g_559,EPSG:2180,2,130647,0463011,0982931,8777,CMs,false,PL.PZGiK.994.0463__OT_ADJA_A.xml#PL.PZGIK.BDOT10k.ADJAA.04.631,0982931,PL.ZIPIN.463,130647,PL.PZGIK.204,475334.55 569674.14,p_559,EPSG:2180,2,PL.PZGIK.BDOT10k.ADMSP.04.6325
2CE79A9B-C51E-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2016-12-07T00:00:00,false,ADMS02,true,inapplicable,Dok,Mz,Mz,true,inapplicable,PU,Uzytkownik04.xml,2015-02-10,2016-12-07,2016-12-07T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,Rubinkowo,477472.54 573601.97 477483.03 573617.91 477491 573596.51 477472.54 573601.97,g_605,EPSG:2180,2,117604,0463011,0982902,25700,CMs,false,PL.PZGiK.994.0463__OT_ADJA_A.xml#PL.PZGIK.BDOT10k.ADJAA.04.631,0982902,PL.ZIPIN.463,117604,PL.PZGIK.204,477481.82 573605.14,p_605,EPSG:2180,2,PL.PZGIK.BDOT10k.ADMSP.04.6314
2CE79A9B-C51F-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2016-12-07T00:00:00,false,ADMS02,true,inapplicable,Dok,Mz,Mz,true,inapplicable,PU,Uzytkownik04.xml,2015-02-10,2016-12-07,2016-12-07T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,Bielawy,479695.8 575090.85 479705.38 575122 479726.95 575107.62 479695.8 575090.85,g_651,EPSG:2180,2,5429,0463011,0982753,2830,CMs,false,PL.PZGiK.994.0463__OT_ADJA_A.xml#PL.PZGIK.BDOT10k.ADJAA.04.631,0982753,PL.ZIPIN.463,5429,PL.PZGIK.204,479712.81 575104.1,p_651,EPSG:2180,2,PL.PZGIK.BDOT10k.ADMSP.04.637
2CE79A9B-C520-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2016-12-07T00:00:00,false,ADMS02,true,inapplicable,Dok,Mz,Mz,true,inapplicable,PU,Uzytkownik04.xml,2015-02-10,2016-12-07,2016-12-07T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,Piaski,473519.79 570456.36 473517.03 570452.81 473515.45 570457.15 473519.79 570456.36,g_697,EPSG:2180,2,99334,0463011,0982865,2130,CMs,false,PL.PZGiK.994.0463__OT_ADJA_A.xml#PL.PZGIK.BDOT10k.ADJAA.04.631,0982865,PL.ZIPIN.463,99334,PL.PZGIK.204,473517.64 570455.19,p_697,EPSG:2180,2,PL.PZGIK.BDOT10k.ADMSP.04.6322
2CE79A9B-C513-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2016-12-07T00:00:00,false,ADMS02,true,inapplicable,Dok,Mz,Mz,true,inapplicable,PU,Uzytkownik04.xml,2015-02-10,2016-12-07,2016-12-07T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,Kaszczorek,479131.97 571894.78 479142.74 571896.82 479140.51 571883.45 479131.97 571894.78,g_743,EPSG:2180,2,51270,0463011,0982813,2426,CMs,false,PL.PZGiK.994.0463__OT_ADJA_A.xml#PL.PZGIK.BDOT10k.ADJAA.04.631,0982813,PL.ZIPIN.463,51270,PL.PZGIK.204,479137.16 571892.46,p_743,EPSG:2180,2,PL.PZGIK.BDOT10k.ADMSP.04.6317
2CE79A9B-C514-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2016-12-07T00:00:00,false,ADMS02,true,inapplicable,Dok,Mz,Mz,true,inapplicable,PU,Uzytkownik04.xml,2015-02-10,2016-12-07,2016-12-07T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,Podgórz,472860.61 569671.06 472855.81 569690.83 472874.51 569689.23 472860.61 569671.06,g_789,EPSG:2180,2,104484,0463011,0982871,9486,CMs,false,PL.PZGiK.994.0463__OT_ADJA_A.xml#PL.PZGIK.BDOT10k.ADJAA.04.631,0982871,PL.ZIPIN.463,104484,PL.PZGIK.204,472863.09 569683.01,p_789,EPSG:2180,2,PL.PZGIK.BDOT10k.ADMSP.04.6320
2CE79A9B-C515-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2016-12-07T00:00:00,false,ADMS01,true,inapplicable,Dok,PRG,PRG,true,inapplicable,PU,Uzytkownik04.xml,2015-02-10,2016-12-07,2016-12-07T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,Toruń,473022.05 572145.9 473024.28 572151.62 473028.33 572146.6 473022.05 572145.9,g_835,EPSG:2180,2,140213,0463011,0982724,187450,Ms,true,PL.PZGiK.994.0463__OT_ADJA_A.xml#PL.PZGIK.BDOT10k.ADJAA.04.631,0982724,PL.ZIPIN.463,140213,PL.PZGIK.204,473024.79 572148.5,p_835,EPSG:2180,2,PL.PZGIK.BDOT10k.ADMSP.04.6324
2CE79A9B-C516-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2016-12-07T00:00:00,false,ADMS02,true,inapplicable,Dok,Mz,Mz,true,inapplicable,PU,Uzytkownik04.xml,2015-02-10,2016-12-07,2016-12-07T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,Bielany,471656.11 573488.85 471636.53 573450.5 471621.03 573484.77 471656.11 573488.85,g_881,EPSG:2180,2,5296,0463011,0982747,4474,CMs,false,PL.PZGiK.994.0463__OT_ADJA_A.xml#PL.PZGIK.BDOT10k.ADJAA.04.631,0982747,PL.ZIPIN.463,5296,PL.PZGIK.204,471636.54 573471.74,p_881,EPSG:2180,2,PL.PZGIK.BDOT10k.ADMSP.04.634
2CE79A9B-C517-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2016-12-07T00:00:00,false,ADMS02,true,inapplicable,Dok,Mz,Mz,true,inapplicable,PU,Uzytkownik04.xml,2015-02-10,2016-12-07,2016-12-07T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,Winnica,476861.54 572993.07 476872.87 572995.17 476873.71 572980.48 476861.54 572993.07,g_927,EPSG:2180,2,173066,0463011,0999682,1570,CMs,false,PL.PZGiK.994.0463__OT_ADJA_A.xml#PL.PZGIK.BDOT10k.ADJAA.04.631,0999682,PL.ZIPIN.463,173066,PL.PZGIK.204,476868.99 572989.72,p_927,EPSG:2180,2,PL.PZGIK.BDOT10k.ADMSP.04.6318
2CE79A9B-C518-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2016-12-07T00:00:00,false,ADMS02,true,inapplicable,Dok,Mz,Mz,true,inapplicable,PU,Uzytkownik04.xml,2015-02-10,2016-12-07,2016-12-07T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,Starotoruńskie Przedmieście,468324.84 572534.04 468349.18 572568.92 468358.1 572517.81 468324.84 572534.04,g_973,EPSG:2180,2,173065,0463011,0999676,104,CMs,false,PL.PZGiK.994.0463__OT_ADJA_A.xml#PL.PZGIK.BDOT10k.ADJAA.04.631,0999676,PL.ZIPIN.463,173065,PL.PZGIK.204,468343.6 572542.08,p_973,EPSG:2180,2,PL.PZGIK.BDOT10k.ADMSP.04.633
2CE79A9B-C519-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2016-12-07T00:00:00,false,ADMS02,true,inapplicable,Dok,Mz,Mz,true,inapplicable,PU,Uzytkownik04.xml,2015-02-10,2016-12-07,2016-12-07T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,Koniuchy,473242.91 574304.63 473232.57 574280.71 473224.16 574302.69 473242.91 574304.63,g_1019,EPSG:2180,2,57155,0463011,0999647,8520,CMs,false,PL.PZGiK.994.0463__OT_ADJA_A.xml#PL.PZGIK.BDOT10k.ADJAA.04.631,0999647,PL.ZIPIN.463,57155,PL.PZGIK.204,473232.64 574293.19,p_1019,EPSG:2180,2,PL.PZGIK.BDOT10k.ADMSP.04.6311
2CE79A9B-C51A-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2016-12-07T00:00:00,false,ADMS02,true,inapplicable,Dok,Mz,Mz,true,inapplicable,PU,Uzytkownik04.xml,2015-02-10,2016-12-07,2016-12-07T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,Stare Miasto,473757.44 571771.03 473758.01 571787.69 473769.59 571774.99 473757.44 571771.03,g_1065,EPSG:2180,2,129179,0463011,0982925,6254,CMs,false,PL.PZGiK.994.0463__OT_ADJA_A.xml#PL.PZGIK.BDOT10k.ADJAA.04.631,0982925,PL.ZIPIN.463,129179,PL.PZGIK.204,473762.34 571778.26,p_1065,EPSG:2180,2,PL.PZGIK.BDOT10k.ADMSP.04.6312
2CE79A9B-C51B-6A1D-E053-CC2BA8C00F96,PL.PZGiK.994.BDOT10k,2016-12-07T00:00:00,false,ADMS02,true,inapplicable,Dok,Mz,Mz,true,inapplicable,PU,Uzytkownik04.xml,2015-02-10,2016-12-07,2016-12-07T00:00:00,2012-11-26,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,true,inapplicable,Grębocin nad Strugą,479968.86 575722.22 479990.82 575693.11 479959.32 575694.54 479968.86 575722.22,g_1111,EPSG:2180,2,38481,0463011,0982799,3067,CMs,false,PL.PZGiK.994.0463__OT_ADJA_A.xml#PL.PZGIK.BDOT10k.ADJAA.04.631,0982799,PL.ZIPIN.463,38481,PL.PZGIK.204,479971.02 575698.79,p_1111,EPSG:2180,2,PL.PZGIK.BDOT10k.ADMSP.04.636
